, 9540.0 <= x < 9570.0; y_318= 20.0 + 0.0x; interpolation
, 9570.0 <= x < 9600.0; y_319= -298.0 + 0.0333x; interpolation
, 9600.0 <= x < 9630.0; y_320= 340.0 + -0.0333x; interpolation
, 9630.0 <= x < 9660.0; y_321= 20.0 + 0.0x; interpolation
, 9660.0 <= x < 9690.0; y_322= 20.0 + 0.0x; interpolation
, 9690.0 <= x < 9720.0; y_323= 20.0 + 0.0x; interpolation
, 9720.0 <= x < 9750.0; y_324= 20.0 + 0.0x; interpolation
, 9750.0 <= x < 9780.0; y_325= -304.0 + 0.0333x; interpolation
, 9780.0 <= x < 9810.0; y_326= 346.0 + -0.0333x; interpolation
, 9810.0 <= x < 9840.0; y_327= -306.0 + 0.0333x; interpolation
, 9840.0 <= x < 9870.0; y_328= 21.0 + 0.0x; interpolation
, 9870.0 <= x < 9900.0; y_329= 21.0 + 0.0x; interpolation
, 9900.0 <= x < 9930.0; y_330= 350.0 + -0.0333x; interpolation
, 9930.0 <= x < 9960.0; y_331= -310.0 + 0.0333x; interpolation
, 9960.0 <= x < 9990.0; y_332= 352.0 + -0.0333x; interpolation
, 9990.0 <= x < 10020.0; y_333= -312.0 + 0.0333x; interpolation
, 10020.0 <= x < 10050.0; y_334= 21.0 + 0.0x; interpolation
, 10050.0 <= x < 10080.0; y_335= 21.0 + 0.0x; interpolation
, 10080.0 <= x < 10110.0; y_336= 21.0 + 0.0x; interpolation
, 10110.0 <= x < 10140.0; y_337= 21.0 + 0.0x; interpolation
, 10140.0 <= x < 10170.0; y_338= 21.0 + 0.0x; interpolation
, 10170.0 <= x < 10200.0; y_339= 21.0 + 0.0x; interpolation
, 10200.0 <= x < 10230.0; y_340= 21.0 + 0.0x; interpolation
, 10230.0 <= x < 10260.0; y_341= 361.0 + -0.0333x; interpolation
, 10260.0 <= x < 10290.0; y_342= -321.0 + 0.0333x; interpolation
, 10290.0 <= x < 10320.0; y_343= 21.0 + 0.0x; interpolation
, 10320.0 <= x < 10350.0; y_344= 21.0 + 0.0x; interpolation
, 10350.0 <= x < 10380.0; y_345= 21.0 + 0.0x; interpolation
, 10380.0 <= x < 10410.0; y_346= 21.0 + 0.0x; interpolation
, 10410.0 <= x < 10440.0; y_347= 21.0 + 0.0x; interpolation
, 10440.0 <= x < 10470.0; y_348= 21.0 + 0.0x; interpolation
, 10470.0 <= x < 10500.0; y_349= 21.0 + 0.0x; interpolation
, 10500.0 <= x < 10530.0; y_350= 21.0 + 0.0x; interpolation
, 10530.0 <= x < 10560.0; y_351= 21.0 + 0.0x; interpolation
, 10560.0 <= x < 10590.0; y_352= 21.0 + 0.0x; interpolation
, 10590.0 <= x < 10620.0; y_353= 373.0 + -0.0333x; interpolation
, 10620.0 <= x < 10650.0; y_354= 20.0 + 0.0x; interpolation
, 10650.0 <= x < 10680.0; y_355= -334.0 + 0.0333x; interpolation
, 10680.0 <= x < 10710.0; y_356= 376.0 + -0.0333x; interpolation
, 10710.0 <= x < 10740.0; y_357= 20.0 + 0.0x; interpolation
, 10740.0 <= x < 10770.0; y_358= 20.0 + 0.0x; interpolation
, 10770.0 <= x < 10800.0; y_359= -338.0 + 0.0333x; interpolation
, 10800.0 <= x < 10830.0; y_360= 380.0 + -0.0333x; interpolation
, 10830.0 <= x < 10860.0; y_361= -340.0 + 0.0333x; interpolation
, 10860.0 <= x < 10890.0; y_362= 21.0 + 0.0x; interpolation
